relative_path,component,license,url,final_url,bytes,sha256,content_type,last_modified,etag
cards/adrian-kennard-cards-authority.html,Random playing-card image authority,CC0-1.0,https://www.me.uk/cards/,https://www.me.uk/cards/,4260,fb59cf861e0661d89af0d5f0a5b98f185881909b739e92c43efba66006fc945e,text/html; charset=UTF-8,"Tue, 02 Jun 2026 07:25:44 GMT","""10a4-65340382144b1"""
cc0-1.0/legalcode.txt,CC0 1.0 Universal legal code,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt,https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt,7048,a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499,text/plain; charset=utf-8,"Mon, 11 Sep 2023 21:49:41 GMT","W/""1b88-6051c4dbae076-gzip"""
mathjax-3.1.2/LICENSE.txt,MathJax 3.1.2,Apache-2.0,https://raw.githubusercontent.com/mathjax/MathJax/3.1.2/LICENSE,https://raw.githubusercontent.com/mathjax/MathJax/3.1.2/LICENSE,11358,cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30,text/plain; charset=utf-8,,"""ea7695ebe191574f243f2d0da593df55f90669d28366f85d2d8070743095da31"""
monty/svg-silh-cc0-authority.html,Random Monty Hall car/goat image authority,CC0-1.0,https://svgsilh.com/,https://svgsilh.com/,32398,f7f5f77d6973ca6cad43550be7f2c8729a7ee484d350fff2f20c45e6aca4bd82,text/html; charset=utf-8,"Thu, 20 Aug 2026 20:32:48 GMT",
